Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
1172,91290,Arpajon,9h-12h00 / 14h-17h00,9h-12h00 / 14h-17h00,9h-12h00 / 14h-17h00,9h-12h00 / 14h-17h00,9h-12h00 / 14h-17h00,fermé,fermé,oui,01 69 26 15 05,16 Boulevard Abel Cornaton,Île-de-France
890,22200,Guingamp,9h00-13h00 / 13h30-17h30,9h00-13h00 / 13h30-17h30,9h00-13h00 / 13h30-17h30,9h00-13h00 / 13h30-17h30,9h00-13h00 / 13h30-17h30,9h00-13h00,fermé,non précisé,33257180060,Rue Hyacinthe Cheval,Bretagne
1393,,80630,,10:00-13:00/14:00-17:30,10:00-13:00/14:00-17:30,10:00-13:00/14:00-17:30,10:00-13:00/14:00-17:30,10:00-13:00/14:00-17:30,fermé,fermé,https://vaccination-covid.keldoc.com/centre-hospitalier/poix-de-picardie-80290/poix-de-picardie/centre-de-vaccination-de-poix-de-picardie,1.98219,32
1410,33190,La Réole,09:30-13:00/13:30-17:30,09:30-13:00/13:30-17:30,09:30-13:00/13:30-17:30,09:30-13:00/13:30-17:30,09:30-13:00/13:30-17:30,fermé,fermé,oui,,37 Chemin de Ronde,Nouvelle-Aquitaine
1426,34200,Sète,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,9:00-12:00 / 13:00-17:00,fermé,fermé,oui,,avenue de Cayenne,Occitanie
879,13122,Ventabren,10h -14h,10h -14h,10h -14h,10h -14h,10h -14h,fermé,fermé,oui,33800730087,"Salle Ste Victoire, "" le plateau "" - Chemin du Cimetière",Provence-Alpes-Côte d'Azur
335,11400,Castelnaudary,8:30-12:00/13:30-17:00,8:30-12:00/13:30-17:00,8:30-12:00/13:30-17:00,8:30-12:00/13:30-17:00,8:30-12:00/13:30-17:00,fermé,fermé,non précisé,33809541919,19 Avenue Monseigneur de Langle,Occitanie
604,93160,Noisy-le-Grand,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,fermé,oui,01 43 93 10 11,1 Allée Christophe Colomb,Île-de-France
1223,69500,Bron,,,,,,,fermé,oui,,Place du 11 Novembre 1918,Auvergne-Rhône-Alpes
556,58200,Cosne-Cours-sur-Loire,13:30-17:00,09:00-12:00/13:30-17:00,09:00-12:00/13:30-17:00,09:00-12:00/13:30-17:00,09:00-12:00/13:30-17:00,fermé,fermé,oui,33386265064,6 Impasse de la Madeleine,Bourgogne-Franche-Comté
