Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
1016,94110,Arcueil,10h-12h30 et 13h30-17h30,10h-12h30 et 13h30-17h30,10h-12h30 et 13h30-17h30,10h-12h30 et 13h30-17h30,10h-12h30 et 13h30-17h30,fermé,fermé,oui,01 46 15 08 07,3 Rue du 8 Mai 1945,Île-de-France
1070,20130,Cargèse,fermé,09:00-11:45/13:00-16:00,09:00-11:45/14:00-17:00,09:00-11:45/14:00-17:00,09:00-11:45,09:00-11:45,fermé,oui,33495517800,Route du Pero,Corse
1029,13560,Sénas,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,8h00-12h00 / 14h00-18h00,fermé,fermé,oui,33631225351,Avenue du 8 Mai 1945,Provence-Alpes-Côte d'Azur
451,29270,Carhaix-Plouguer,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,oui,33298145143,Rue du Docteur Menguy,Bretagne
206,63500,Issoire,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33473718858,13 Rue du Docteur Sauvat,Auvergne-Rhône-Alpes
385,71000,MÃ¢con,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,350 boulevard Louis Escande,Bourgogne-Franche-Comté
394,47200,Marmande,9:00-12:00/13:00-17:00,9:00-12:00/13:00-17:00,9:00-12:00/13:00-17:00,9:00-12:00/13:00-17:00,9:00-12:00/13:00-17:00,9:00-12:00/13:00-17:00,fermé,oui,33553203110,6 Avenue Francois Mitterrand,Nouvelle-Aquitaine
398,21000,Dijon,09:00-11:45/13:00-16:45,09:00-11:45/13:00-16:45,09:00-11:45/13:00-16:45,09:00-11:45/13:00-16:45,09:00-11:45/13:00-16:45,fermé,fermé,oui,33345810421,10 Bd Mal de Lattre de Tassigny,Bourgogne-Franche-Comté
404,66750,Saint-Cyprien,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,fermé,fermé,oui,33809541919,Stade les capellans,Occitanie
159,14500,Vire Normandie,,,,,,,,oui,33279461156,23 Rue des Acres,Normandie
70,76400,Fécamp,,,,,,,,oui,33279461156,100 Avenue du Président FranÃ§ois Mitterrand,Normandie
635,95260,Beaumont-sur-Oise,14-17H,14-17H,14-17H,,,,fermé,oui,01.39.37.14.72,25 Rue Edmond Turcq,Île-de-France
1061,20167,Peri,A CONFIRMER,A CONFIRMER,A CONFIRMER,A CONFIRMER,A CONFIRMER,fermé,fermé,oui,33495258191,Plaine de Peri ustaria,Corse
1114,57500,Saint-Avold,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-12:00,fermé,oui,33387918170,Rue Ambroise Paré,Grand Est
348,34570,Vailhauquès,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,fermé,fermé,oui,33809541919,150 Rue Super Nova,Occitanie
274,59610,Fourmies,09:15-12:00/14:00-17:00,09:15-12:00/14:00-17:00,09:15-12:00/14:00-17:00,09:15-12:00/14:00-17:00,09:15-12:00/14:00-17:00,fermé,fermé,oui,33392043471,13 Rue de l'Hôpital,Hauts-de-France
765,61140,Bagnoles de l'Orne Normandie,,,,,,,,oui,33279461156,17 Avenue Docteur Jacques Aimez,Normandie
620,71600,Paray-le-Monial,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,oui,33385218399,9 Rue Pierre Lathuilière,Bourgogne-Franche-Comté
1023,6460,Saint-Vallier-de-Thiey,9h 17h,9h 17h,9h 17h,9h 17h,9h 17h,fermé,fermé,oui,08 05 01 66 66,11 avenue Gaston de Fontmichel,Provence-Alpes-Côte d'Azur
999,33390,Blaye,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,fermé,oui,33557944240,1 Rue Nicole Girard-Mangin,Nouvelle-Aquitaine
1173,91470,Limours,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,5 Rue de la Brélandière,Île-de-France
46,45300,Pithiviers,9h-18h,14h-18h,9h-18h,fermé,fermé,9h-18h,9h-18h,oui,0 801 90 45 00,10 Boulevard Beauvallet,Centre-Val de Loire
1351,6000,Nice,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,,38 Promenade des Anglais,Provence-Alpes-Côte d'Azur
272,59240,Dunkerque,09:00-12:00/13:30-19:30,09:00-12:00/13:30-19:30,09:00-12:00/13:30-19:30,09:00-12:00/13:30-19:30,09:00-12:00/13:30-19:30,fermé,fermé,non précisé,33392043471,130 Avenue Louis Herbeaux,Hauts-de-France
156,40100,Dax,fermé,8h30-17h30,8h30-17h30,8h30-17h30,fermé,fermé,fermé,oui,05 58 35 24 99,Rue Saint Eutrope,Nouvelle-Aquitaine
541,9130,Le Fossat,13:30-15:30,13:30-15:30,13:30-15:30,13:30-15:30,13:30-15:30,13:30-15:30,fermé,oui,33809541919,centre multimédia avenue de Versailles,Occitanie
1439,35470,Bain-de-Bretagne,fermé,9h-12h / 14h-17h,9h-12h / 14h-17h,9h-12h / 14h-17h,9h-12h / 14h-17h,fermé,fermé,non précisé,33805690821,75 La Croix Rouge,Bretagne
1291,8240,Buzancy,fermé,fermé,fermé,fermé,fermé,13H30-17H,fermé,oui,,2 Rue Nouvelle,Grand Est
832,83170,Brignoles,9h/17h,9h/17h,9h/17h,9h/17h,9h/17h,fermé,fermé,oui,33494861595,Chemin des Archets,Provence-Alpes-Côte d'Azur
944,16200,Mérignac,fermé,08:30-12:00/14:00-17:30,08:30-12:00/14:00-17:30,08:30-12:00/14:00-17:30,fermé,fermé,fermé,oui,33676542564,4 Impasse des Caducées,Nouvelle-Aquitaine
68,4000,Digne-les-Bains,ouvert,ouvert,ouvert,ouvert,ouvert,,,oui,33492301292,Quartier Saint Christophe,Provence-Alpes-Côte d'Azur
1452,92100,Boulogne-Billancourt,12h - 15h et 19h30 - 21h30,12h - 15h et 19h30 - 21h30,12h - 15h et 19h30 - 21h30,12h - 15h et 19h30 - 21h30,12h - 15h et 19h30 - 21h30,fermé,fermé,non précisé,0 800 08 33 46,9 Avenue Charles de Gaulle,Île-de-France
930,29300,Quimperlé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,33257180061,Rue de Kerjouanneau,Bretagne
233,73000,Chambéry,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,09:00-12:30/14:00-17:30,fermé,oui,33479965519,740 Faubourg Maché - Espace santé publique - bÃ¢timent Saint Hélène - 2éme étage,Auvergne-Rhône-Alpes
95,29200,Brest,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,8h45-19h,oui,298145143,85 Rue Maximin Audemar,Bretagne
924,6340,La Trinité,13h30 - 17h30,13h30 - 17h30,13h30 - 17h30,13h30 - 17h30,13h30 - 17h30,13h30 - 17h30,fermé,oui,33493276442,106 Boulevard Général de Gaulle,Provence-Alpes-Côte d'Azur
525,84400,Apt,13h-18h,13h-18h,13h-18h,13h-18h,13h-18h,fermé,fermé,oui,+33490043401 / +330490013358,225 Avenue de Marseille,Provence-Alpes-Côte d'Azur
326,95500,Gonesse,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,01.82.32.05.96,2 Boulevard du 19 Mars 1962,Île-de-France
851,31390,Carbonne,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,fermé,fermé,oui,33809541919,9bis Rue du Pila,Occitanie
378,60840,Breuil-le-Sec,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-12:30,fermé,oui,03 92 04 34 71,Rue Guy Boulet,Hauts-de-France
614,93300,Aubervilliers,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,fermé,oui,33171896186,5 Rue Edouard Poisson,Île-de-France
397,39570,Montmorot,fermé,fermé,fermé,11:00-14:00/17:00-19:00,11:00-14:00/17:00-19:00,10:00-12:00,fermé,oui,33384868600,Rue du 19 mars 1962,Bourgogne-Franche-Comté
689,28100,Dreux,9h-12h/13h30-16h30,9h-12h/13h30-16h30,9h-12h/13h30-16h30,9h-12h/13h30-16h30,9h-12h/13h30-16h30,fermé,fermé,oui,33805021400,1 Impasse de la Commune,Centre-Val de Loire
724,97130,Capesterre-Belle-Eau,,fermé,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,fermé,fermé,https://vaccination-covid.keldoc.com/centre-hospitalier/capesterre-belle-eau-97130/centre-hospitalier-de-capesterre-belle-eau/centre-de-vaccination-du-centre-hospitalier-de-capesterre-belle-eau,-61.5991,1
1144,2140,Vervins,,,,fermé,,fermé,fermé,oui,33323916149,Place de la Liberté,Hauts-de-France
754,31400,Toulouse,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,fermé,oui,33809541919,81 Rue Saint Roch,Occitanie
752,31800,Saint-Gaudens,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,14:00-18:00,fermé,fermé,oui,33809541919,2 Place du Foirail,Occitanie
612,71300,Montceau-les-Mines,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,oui,33385218399,36 Quai Jules Chagot,Bourgogne-Franche-Comté
877,17320,Marennes-Hiers-Brouage,10:00-12:30/13:30-16h30,10:00-12:30/13:30-16h30,10:00-12:30/13:30-16h30,10:00-12:30/13:30-16h30,10:00-12:30/13:30-16h30,fermé,fermé,oui,33586570015,7 Rue Jean Moulin,Nouvelle-Aquitaine
370,81100,Castres,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-14:00,fermé,oui,33809541919,6 Avenue de la Montagne Noire,Occitanie
878,54140,Jarville-la-Malgrange,09:00-13:00/14:00-17:00,09:00-13:00/14:00-17:00,09:00-13:00/14:00-17:00,09:00-13:00/14:00-17:00,09:00-13:00/14:00-17:00,non précisé,non précisé,oui,33383851300,15 Rue Marechal Foch,Grand Est
1316,55300,Saint-Mihiel,fermé,13h-18h,fermé,fermé,fermé,fermé,fermé,oui,03 72 85 01 17,6 Rue du Palais de Justice,Grand Est
1348,38150,Roussillon,fermé,09:00 - 14:00,09:00 - 14:00,09:00 - 14:00,09:00 - 14:00,fermé,fermé,oui,33476003134,12 Rue Fernand Léger,Auvergne-Rhône-Alpes
680,38300,Bourgoin-Jallieu,09:00-12:00/13:30-16:30,09:00-12:00/13:30-16:30,09:00-12:00/13:30-16:30,09:00-12:00/13:30-16:30,09:00-15:00,fermé,fermé,oui,33476003134,10 Place Albert Schweitzer,Auvergne-Rhône-Alpes
1391,43500,Craponne-sur-Arzon,fermé,fermé,fermé,fermé,fermé,9h-17h,fermé,oui,33188889596,4 Rue du Stade,Auvergne-Rhône-Alpes
1403,38200,Vienne,13:00-16:00,fermé13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,fermé,fermé,oui,,Mont Salomon,Auvergne-Rhône-Alpes
204,67500,Haguenau,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,08:30-12:00/13:30-17:00,fermé,fermé,oui,33388063177,64 Av du Professeur Rene Leriche,Grand Est
391,47300,Villeneuve-sur-Lot,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,fermé,oui,33553722800,Route de Fumel,Nouvelle-Aquitaine
151,28200,ChÃ¢teaudun,fermé,ouvert,ouvert,ouvert l'après-midi,fermé,fermé,fermé,non,33805021400,Route de Jallans,Centre-Val de Loire
74,27000,Evreux,,,,,,,,oui,33279461156,Léon Schwartzenberg,Normandie
47,20090,Ajaccio,09:00-12:15/13:00-17:15,09:00-12:15/13:00-17:15,09:00-12:15/13:00-17:15,09:00-12:15/13:00-17:15,09:00-12:15/13:00-17:15,09:00-12:15/13:00-17:15,fermé,oui,33495296700,Avenue Marechal Juin,Corse
1021,4500,Riez,fermé,14H-18H,14H-18H,14H-18H,14H-18H,14H-18H,fermé,oui,06.08.94.95.50,11 Chemin de la Rouguiere,Provence-Alpes-Côte d'Azur
157,37000,Tours,9h-20h,9h-20h,9h-20h,9h-20h,9h-20h,9h-20h,9h-20h,oui,33247477560,2 Boulevard Tonnellé,Centre-Val de Loire
163,40000,Mont-de-Marsan,9h00-17h00,9h00-17h00,9h00-17h00,9h00-17h00,9h00-17h00,9h00-13h00,fermé,oui,05 58 05 13 00,35 Rue de la Ferme de Fatigue,Nouvelle-Aquitaine
574,75008,Paris,8h-20h,8h-20h,8h-20h,8h-20h,8h-20h,8h-20h,fermé,oui,3975,3 Rue de Lisbonne,Île-de-France
1011,51520,Saint-Martin-sur-le-Pré,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,oui,33326693816,16 TER Route de Louvois,Grand Est
562,71500,Branges,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,oui,33385218399,155 Route du Bourg,Bourgogne-Franche-Comté
425,44330,Vallet,9h-13h / 14h-19h30,9h-13h / 14h-19h30,9h-13h / 14h-19h30,9h-13h / 14h-19h30,9h-13h / 14h-19h30,9h-13h,fermé,oui,33806000344,7 Boulevard Stephane Pusterle,Pays de la Loire
1096,80300,Albert,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,09:00-12:00/14:00-17:00,fermé,fermé,non précisé,33392043471,Rue Paul Langevin,Hauts-de-France
264,6540,Breil-sur-Roya,ouvert,ouvert,ouvert,ouvert,ouvert,fermé,fermé,oui,04 22 16 37 39,2 Rue Cordier,Provence-Alpes-Côte d'Azur
979,8400,Vouziers,fermé,fermé,fermé,fermé,13:30-17:30,fermé,fermé,oui,33972760250,12 Rue Henrionnet,Grand Est
160,40500,Saint-Sever,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,9:00-13:00,fermé,oui,33558764545,3 Rue de la Guillerie,Nouvelle-Aquitaine
961,6650,Le Rouret,8h 10h,8h 10h,8h 10h,8h 10h,8h 10h,8h 10h,fermé,oui,493607925,9 Route d'Opio,Provence-Alpes-Côte d'Azur
1139,84800,L'Isle-sur-la-Sorgue,8h-13h / 14h-18h,8h-13h / 14h-18h,8h-13h / 14h-18h,8h-13h / 14h-18h,8h-13h / 14h-18h,fermé,fermé,oui,,Place des frères Brun,Provence-Alpes-Côte d'Azur
772,57400,Sarrebourg,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,09:00-12:00,fermé,oui,33387345345,25 Avenue du Général de Gaulle,Grand Est
15,8000,Charleville-Mézières,13:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-12:30,,oui,33972760250,45 Avenue de Manchester,Grand Est
876,54600,Villers-lès-Nancy,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,13:00-18:00,non précisé,non précisé,oui,33383851300,16 Bd Docteur Cattenoz,Grand Est
983,13005,Marseille,17h-21h,17h-21h,17h-21h,17h-21h,17h-21h,9h-13h,fermé,oui,,147 Boulevard Baille,Provence-Alpes-Côte d'Azur
1116,,62289,,,,,,,fermé,fermé,https://partners.doctolib.fr/centre-de-sante/ecuires/centre-de-vaccination-covid-cham-cosec-2-espace-bernard-pion?pid=practice-166725&enable_cookies_consent=1,1.76096,32
1321,8230,Rocroi,fermé,fermé,fermé,02/04/21, 13:30-18:30,fermé,fermé,fermé,https://partners.doctolib.fr/centre-de-sante/sedan/centre-de-vaccination-covid-ars-ardennes?pid=practice-167723&enable_cookies_consent=1,4.5187,44
761,74100,Annemasse,08:00-13:00/14:00-18:00,08:00-13:00/14:00-18:00,08:00-13:00/14:00-18:00,08:00-13:00/14:00-18:00,08:00-13:00/14:00-18:00,08:00-13:00/14:00-18:00,fermé,oui,33450336233,rue du Dr Francis Baud,Auvergne-Rhône-Alpes
1372,75006,Paris,10h - 16h,10h - 16h,10h - 16h,10h - 16h,10h - 16h,fermé,fermé,oui,3975,78 Rue Bonaparte,Île-de-France
524,89100,Sens,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,fermé,fermé,oui,33186650105,58 Rue René Binet,Bourgogne-Franche-Comté
1245,53400,Craon,14h - 18h,14h - 18h,14h - 18h,14h - 18h,14h - 18h,fermé,fermé,oui,33243535300,3 Route de Nantes,Pays de la Loire
1286,55230,Spincourt,A préciser,A préciser,A préciser,A préciser,A préciser,fermé,fermé,oui,33329859732,9 Chemin du Mont,Grand Est
26,36000,ChÃ¢teauroux,10h-18h,10h-18h,10h-18h,10h-18h,10h-18h,10h-18h,10h-18h,oui,08 05 02 14 00,16 Rue Claude Nicolas Ledoux,Centre-Val de Loire
1450,35340,Liffré,9h-13h / 13h30-17h30,9h-13h / 13h30-17h30,9h-13h / 13h30-17h30,9h-13h / 13h30-17h30,9h-13h / 13h30-17h30,8h30-12h30,fermé,non précisé,805690821,9 Rue des Ecoles,Bretagne
758,19000,Tulle,10:00-16:00,fermé,10:00-16:00,fermé,fermé,10:00-16:00,fermé,oui,33800190019,Avenue Lieutenant Colonel FARO,Nouvelle-Aquitaine
131,33000,Bordeaux,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,oui,33557820005,1 Rue Jean Burguet,Nouvelle-Aquitaine
1247,41110,Saint-Aignan,Après-midi,Matin,Après-midi,Matin,fermé,fermé,fermé,oui,33633548603,1301 Rue de la Forêt,Centre-Val de Loire
1484,75018,Paris,N/A,N/A,N/A,N/A,N/A,fermé,fermé,oui,01 40 25 74 23,2.33084,11
75,6000,Nice,8h/20h,8h/20h,8h/20h,8h/20h,8h/20h,8h/20h,,oui,04 97 13 56 04,10 Rue Hancy,Provence-Alpes-Côte d'Azur
78,1440,Viriat,A preciser,A preciser,A preciser,A preciser,A preciser,A preciser,A preciser,non précisé,33474454076,900 Route de Paris,Auvergne-Rhône-Alpes
1454,92140,Clamart,Ouvert,Ouvert,Ouvert,Ouvert,Ouvert,fermé,fermé,non précisé,0 800 08 33 46,157 Rue de la Porte de Trivaux,Île-de-France
1499,51000,ChÃ¢lons-en-Champagne,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,fermé,fermé,oui,33326693816,51 Rue du Commandant Derrien,Grand Est
1494,97600,Mamoudzou,9h00-16h00,9h00-16h00,9h00-16h00,9h00-16h00,9h00-16h00,fermé,fermé,non,,4348 Rue de l'Espoir,Mayotte
1497,97600,Mamoudzou,9h00-16h00,9h00-16h00,9h00-16h00,9h00-16h00,9h00-16h00,fermé,fermé,non,,4006 Kaweni,Mayotte
844,85350,L'Île-d'Yeu,8h30-17h30,8h30-17h30,8h30-17h30,8h30-17h30,8h30-17h30,8h30-12h30,fermé,oui,33251260802,17 Impasse du Puits Raimond,Pays de la Loire
509,14600,Equemauville,,,,,,,,oui,33279461156,CHEMIN DE LA PLANE,Normandie
521,71700,Tournus,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,oui,33385218399,627 avenue Henri et Suzanne Vitrier,Bourgogne-Franche-Comté
1048,13002,Marseille,9h-16h,9h-16h,9h-16h,9h-16h,9h-16h,9h-16h,fermé,oui,3013,Quai du Port,Provence-Alpes-Côte d'Azur
1349,61000,AlenÃ§on,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,,25 Rue de Fresnay,Normandie
1265,97460,Saint-Paul,de 14h - 18h,de 8h - 12h et de 14h - 18h,de 8h - 12h et de 14h - 18h,de 8h - 12h et de 14h - 18h,de 8h - 12h et de 14h - 18h,de 8h - 12h et de 14h - 18h,fermé,oui,262262720404,oui,
1381,31130,Quint-Fonsegrives,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,52 Chemin de Ribaute,Occitanie
1281,58400,La Charité-sur-Loire,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,,51 Rue des Hôtelleries,Bourgogne-Franche-Comté
1095,59400,Cambrai,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,fermé,fermé,oui,33327724429,102 Boulevard Faidherbe,Hauts-de-France
331,39100,Dole,fermé,fermé,fermé,11:00-14:00/18:00-20:00,11:00-14:00/18:00-20:00,10:00-12:00,fermé,oui,33384868600,2 Rue d'Azans,Bourgogne-Franche-Comté
240,7200,Aubenas,fermé,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,oui,33475667799,14 Avenue de Bellande,Auvergne-Rhône-Alpes
308,93200,Saint-Denis,9h-16h,9h-16h,9h-16h,9h-16h,9h-16h,fermé,fermé,oui,33142356090,2 Rue du Docteur Delafontaine,Île-de-France
1005,93270,Sevran,9h30-12h,9h30-12h,9h30-12h,9h30-12h,9h30-12h,fermé,fermé,oui,08 09 10 20 89,1 Avenue du Docteur Schaffner,Île-de-France
537,75009,Paris,7h-21h,7h-21h,7h-21h,7h-21h,7h-21h,7h-21h,,oui,3975,6 Rue Drouot,Île-de-France
1086,6390,Contes,fermé,fermé,ouvert,ouvert,ouvert,fermé,fermé,oui,33493790364,40 chemin du Gheit,Provence-Alpes-Côte d'Azur
802,76000,Rouen,,,,,,,,oui,33279461156,36 Rue des Carmes,Normandie
505,14000,Caen,,,,,,,,oui,33279461156,20 AVENUE DU CAPITAINE GUYNEMER,Normandie
862,77500,Chelles,9:00-12:00/14:00-17:00,9:00-12:00/14:00-17:00,9:00-12:00/14:00-17:00,9:00-12:00/14:00-17:00,9:00-12:00/14:00-17:00,9:00-12:00/14:00-17:00,fermé,oui,33164728535,2 Pl des Martyrs de Chateaubriant,Île-de-France
37,25000,BesanÃ§on,8:30-18:30,8:30-18:30,8:30-18:30,8:30-18:30,8:30-18:30,fermé,fermé,non,363421013,3 Boulevard Alexandre Fleming,Bourgogne-Franche-Comté
578,13100,Aix-en-Provence,En cours de précision,En cours de précision,En cours de précision,En cours de précision,En cours de précision,fermé,fermé,oui,33800820830,35 Avenue des Infirmeries,Provence-Alpes-Côte d'Azur
750,34000,Montpellier,No,,,,,,,oui,33809541919,220 boulevard Pénélope,Occitanie
751,91430,Igny,9h00 - 17h00,9h00 - 17h00,9h00 - 17h00,9h00 - 17h00,9h00 - 17h00,9h00 - 17h00,fermé,oui,169331125,2 Irène et Frédéric Joliot Curie,Île-de-France
766,34300,Agde,,,,,,fermé,fermé,oui,33809541919,220 boulevard des Héllenes,Occitanie
438,13005,Marseille,14h-22h,14h-22h,14h-22h,14h-22h,14h-18h,8h-12h,fermé,oui,04 13 42 90 98,264 Rue Saint Pierre,Provence-Alpes-Côte d'Azur
1142,13005,Marseille,14h-22h,14h-22h,14h-22h,14h-22h,14h-18h,8h-12h,fermé,oui,04 13 42 90 98,264 Rue Saint Pierre,Provence-Alpes-Côte d'Azur
703,73200,Albertville,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,fermé,fermé,oui,33479104343,253 Rue Pierre de Coubertin - Maison médicale,Auvergne-Rhône-Alpes
1311,61000,AlenÃ§on,,,,,,,,non précisé,,25 Rue de Fresnay,Normandie
847,61700,Domfront en Poiraie,,,,,,,,oui,33279461156,28 Rue de la Gare,Normandie
239,2500,Hirson,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-12:00/13:00-17:00,09:00-13:00,,oui,33392043471,40 Rue aux Loups,Hauts-de-France
1374,46090,Lamagdelaine,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non précisé,,157 Route de Bassaler,Occitanie
706,26200,Montélimar,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-13:00,fermé,oui,33475534100,3 rue du général Chabrillan - Institut de soins infirmiers,Auvergne-Rhône-Alpes
1438,35120,Dol-de-Bretagne,fermé,9h-12h / 14h-17h,9h-12h / 14h-17h,9h-12h / 14h-17h,9h-12h / 14h-17h,fermé,fermé,non précisé,33805690821,21 Rue Eléonor Daubrée,Bretagne
544,31210,Montréjeau,08:00-12:00,fermé,08:00-12:00,fermé,08:00-12:00,08:00-12:00,fermé,oui,33809541919,14 bis Avenue de Mazères,Occitanie
805,3200,Vichy,fermé,12:00-19:00,10:00-19:00,10:00-19:00,fermé,fermé,fermé,oui,33800709999,1 Place Charles de Gaulle,Auvergne-Rhône-Alpes
605,89300,Joigny,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,800725089,10 Avenue d'Amélia,Bourgogne-Franche-Comté
1193,,59036,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,fermé,https://partners.doctolib.fr/hopital-public/avesnes-sur-helpe/centre-de-vaccination-le-bastion-salle-wedric?pid=practice-166858&enable_cookies_consent=1,3.92693,32
564,31350,Boulogne-sur-Gesse,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,14:00-17:00,08:00-12:00,fermé,oui,33809541919,1 Rue du Docteur Jean Montastruc,Occitanie
1432,11500,Quillan,fermé,9:00 -16:30,fermé,9:00-16:30,fermé,fermé,fermé,oui,33809541919,6 Rue du Docteur Roueylou,Occitanie
1178,13008,Marseille,9H-11H45 / 14H-17H,12H - 16H,9H-11H45 / 14H - 16H,9H-11H45 / 14H - 16H,9H - 13H45,fermé,fermé,oui,04 13 31 38 00,12 Rue Saint Adrien,Provence-Alpes-Côte d'Azur
183,64400,Oloron-Sainte-Marie,14:00-17:00,14:00-17:00,14:00-17:00,fermé,fermé,fermé,fermé,oui,33559883207,1 Avenue Alexander Fleming,Nouvelle-Aquitaine
329,62575,Blendecques,09:00-12:00/13:00-17:30,09:00-12:00/13:00-17:30,09:00-12:00/13:00-17:30,09:00-12:00/13:00-17:30,09:00-12:00/13:00-17:30,fermé,fermé,oui,03 92 04 34 71,71 Rue Ambroise Paré,Hauts-de-France
672,38350,La Mure,fermé,fermé,09:00-18:00,fermé,fermé,fermé,fermé,oui,33476003134,56 Boulevard Docteur Ricard,Auvergne-Rhône-Alpes
869,6450,Roquebillière,fermé,fermé,10H 12H,10H 12H,10H 12H,fermé,fermé,oui,33493029110,13 Rue Docteur Matteo,Provence-Alpes-Côte d'Azur
566,13200,Arles,fermé,fermé,9h - 17h,9h - 17h,9h - 17h,9h - 17h,fermé,oui,04 65 49 43 10,Avenue de la 1ère Division France Libre,Provence-Alpes-Côte d'Azur
118,50700,Valognes,,,,,,,,oui,33279461156,1 avenue du huit mai,Normandie
1495,21230,Arnay-le-Duc,fermé,fermé,fermé,fermé,fermé,fermé,fermé,non,33345810421,11 Rue Jean Moulin,Bourgogne-Franche-Comté
1523,38110,La Tour-du-Pin,8:00-16:00,8:00-16:00,12:00-20:00,8:00-16:00,8:00-16:00,8:00-16:00,fermé,oui,+334 74 88 11 75,9 Rue Louis Pasteur,Auvergne-Rhône-Alpes
